local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm25,so2,t,w,wg,pm10,dew,r,wd,d,pm1
2020-03-26,05:00:00,"Moose Hill School, Pond View Trail, West Derry, Londonderry, Rockingham County, New Hampshire, 03053, United States of America",42.862531,-71.38014,26,1.9,99.0,,26.4,1014.8,21.0,1.5,-1.5,0.3,1.0,,,,,,
2020-03-26,01:00:00,"Pottery Planet, Bostwick Lane, East Morrissey, Yacht Harbor Manor, Santa Cruz County, California, 95065-1711, United States of America",36.98401,-121.99097,38,2.9,68.0,1.9,11.2,1016.6,38.0,,4.0,0.1,0.1,2.0,,,,,
2020-03-26,05:00:00,"Madison-Plains High School, Watson Road, Newport, Paint Township, Madison County, Ohio, 43140, United States of America",39.78819,-83.47606,22,,85.6,,22.4,1013.6,,,5.5,4.0,7.3,,,,,,
2020-03-26,04:00:00,"400, IL 1, Marshall, Clark County, Illinois, 62477, United States of America",39.210883,-87.668416,10,,93.0,,9.6,1011.8,,,6.0,2.5,7.7,,5.0,,,,
2020-03-26,04:00:00,"Muldoon Avenue, Fresh Kills, Staten Island, Richmond County, New York, 10309:10312, United States of America",40.580254,-74.198295,25,,90.0,10.5,12.1,1017.4,25.0,,0.0,1.0,,,,,,,
2020-03-26,03:00:00,"Dunn County, North Dakota, 58626, United States of America",47.342589,-102.645997,15,,93.5,1.0,14.5,1.2,9.0,2.9,-3.8,3.0,,5.0,,,,,
2020-03-26,02:00:00,"698, 45th Avenue Southwest, Zap, Mercer County, North Dakota, 58523, United States of America",47.2986,-101.7669,17,,100.0,1.9,16.8,1009.8,16.0,1.5,-6.0,2.0,5.9,,-6.0,,,,
2020-03-26,03:00:00,"Chief Washwick Avenue, Cheyenne, Laramie County, Wyoming, 82009, United States of America",41.18222,-104.778336,18,1.7,56.0,3.8,17.6,1003.6,5.0,,-1.2,2.5,4.6,6.0,,,,,
2020-03-26,06:00:00,"Branstead Road, Laurentian Hills, Renfrew County, Eastern Ontario, Ontario, Canada",45.996722,-77.441194,24,,93.0,,24.1,1011.8,25.0,,2.0,2.0,12.3,,1.0,,,,
2020-03-26,05:00:00,"Grand Rapids Police Department, Louis Street Northwest, Heritage Hill Historic District, Grand Rapids, Kent County, Michigan, 49503, United States of America",42.9633599,-85.6680863,52,3.9,82.0,,19.2,1006.5,52.0,1.5,8.7,6.0,13.0,,,,,,
2020-03-26,04:00:00,"Central Elementary School, Clinton Street, Pine Hills, Harriman, Roane County, Tennessee, 37748, United States of America",35.9386,-84.5439,30,,84.0,,,1015.0,30.0,,8.5,1.8,5.6,,6.0,,,,
2020-03-26,04:00:00,"NY 590, Browncroft, Cobbs Hill, Rochester, Brighton Town, Monroe County, New York, 14610, United States of America",43.146183,-77.54215,13,2.8,75.0,2.3,24.1,1013.5,13.0,,42.1,0.7,0.2,,,,,,
2020-03-26,05:00:00,"Martin County Sheriff's Office, Southeast Willoughby Boulevard, Stuart, Martin County, Florida, 33994-4554, United States of America",27.1725,-80.240555555556,62,,88.0,,8.2,1014.8,62.0,,21.0,2.5,7.7,,19.0,,,,
2020-03-26,04:00:00,"Maple Summit Road, Jerseyville, Jersey County, Illinois, 62052, United States of America",39.101439,-90.344494,40,,93.0,,19.2,1008.4,40.0,,7.0,3.0,9.7,,6.0,,,,
2020-03-26,03:00:00,"Baytown Fire Department Station 5, Bayway Drive, Wooster, Baytown, Harris County, Texas, 77520, United States of America",29.7706975,-95.0312316,46,,95.6,10.7,12.8,1012.1,46.0,0.2,20.3,0.6,1.6,,,,,,
2020-03-26,02:00:00,"Tri-Cities Vocational Center, North Kellogg Street, Island View, Tri-Cities, Benton County, Washington, 99336-1117, United States of America",46.21835,-119.20152,8,,85.0,,30.0,1017.4,8.0,,2.3,1.5,4.5,2.0,,,,,
2020-03-26,05:00:00,"100, North Park Street, Milwood, Kalamazoo, Kalamazoo County, Michigan, 49007, United States of America",42.2917069,-85.5872286,31,,76.0,,20.8,1009.1,31.0,,9.4,2.0,9.2,,5.0,,,,
2020-03-26,06:00:00,"1017, Glenashton Drive, Holton Heights, Snider, Oakville, Halton Region, Golden Horseshoe, Ontario, L6H 5M1, Canada",43.486917,-79.702278,50,3.3,95.2,10.3,17.6,1010.7,50.0,0.2,1.3,0.1,0.5,,,,,,
2020-03-26,05:00:00,"Orange Avenue, East 4th Street, Playhouse Square, Cleveland, Cuyahoga County, Ohio, 44115, United States of America",41.492191,-81.678552,53,2.2,81.0,10.2,16.0,1011.1,53.0,1.5,8.8,1.5,6.0,21.0,,,,,
2020-03-26,05:00:00,"Bath Local Schools, I 75, Slabtown, Bath Township, Allen County, Ohio, 45801, United States of America",40.771,-84.0539,53,,75.0,,24.8,1012.1,53.0,,8.0,4.1,9.2,,4.0,,,,
2020-03-26,05:00:00,"Warren County Home, Park Avenue, Floraville Historic District, Lebanon, Warren County, Ohio, 45036, United States of America",39.42689,-84.20077,42,,95.6,,28.9,1.0,42.0,,2.7,0.1,,,,,,,
2020-03-26,02:00:00,"1386, Southwest 39th Street, Glendale, Pendleton, Umatilla County, Oregon, 97801, United States of America",45.652231,-118.823033,21,,69.0,,28.0,28.9,21.0,,1.1,0.4,1.1,,,,,,
2020-03-26,04:00:00,"Coleman Avenue, Northwest Hills, Jackson, Hinds County, Mississippi, 39213, United States of America",32.346905,-90.225928,64,,93.0,,4.0,1013.5,64.0,,14.0,0.5,9.7,,13.0,,,,
2020-03-26,02:00:00,"4048, 40th Avenue North, Fargo, Cass County, North Dakota, 58102, United States of America",46.933601,-96.854698,25,,85.0,1.0,24.8,1012.8,11.0,1.5,-5.0,3.0,10.8,3.0,-7.0,,,,
2020-03-26,02:00:00,"County of Kern Animal Shelter Mojave, Poole Street, Chaffee, Mojave, Kern County, California, 93501, United States of America",35.05045,-118.14778,34,0.3,69.0,6.3,34.4,1013.2,5.0,,3.0,5.6,7.9,2.0,-2.0,,,,
2020-03-26,04:00:00,"7601, South Lawndale Avenue, Ashburn, Chicago, Cook County, Illinois, 60652, United States of America",41.7547,-87.7136,44,,93.0,,25.6,1008.4,44.0,,8.0,3.0,8.7,,7.0,,,,
2020-03-26,05:00:00,"Buncombe County Schools, Bingham Road, Asheville, Buncombe County, North Carolina, 28806, United States of America",35.6075,-82.5833,9,,1.0,,,1016.7,9.0,,5.5,0.1,0.6,,,,,,
2020-03-26,04:00:00,"Bobali Drive, Hall Manor, Oberlin Gardens, Dauphin County, Pennsylvania, 17104, United States of America",40.246992,-76.846988,69,,75.0,17.6,0.8,1017.9,69.0,1.5,7.0,1.0,12.3,10.0,3.0,,,,
2020-03-26,05:00:00,"498, Platt Street, Daytona Beach, Volusia County, Florida, 32114, United States of America",29.206666666667,-81.0525,51,,95.0,,8.2,1012.5,51.0,,20.0,2.6,9.1,19.0,,,,,
2020-03-26,02:00:00,"Totem Middle School, 1605, 7th Street, Kruse, Marysville, Snohomish County, Washington, 98270, United States of America",48.054315,-122.171529,61,2.4,82.3,,23.3,1017.9,61.0,,2.4,0.6,1.3,,,,,,
2020-03-26,02:00:00,"Wellpinit-Westend Road, Wellpinit, Stevens County, Washington, 99040, United States of America",47.88528,-117.98865,9,,94.3,,,1012.4,9.0,,-2.2,0.3,4.3,16.0,,,,,
2020-03-26,05:00:00,"372, Rue Chasles, Mont-Laurier, Antoine-Labelle, Laurentides, Québec, J9L 3W8, Canada",46.5504129,-75.4960308,29,0.2,84.2,,21.0,988.2,29.0,,2.7,2.0,,,0.3,99.6,,,
2020-03-26,04:00:00,"Whitko Middle School, SR 5, South Whitley, Whitley County, Indiana, 46725, United States of America",41.169722,-85.629444,28,,81.3,,,1012.2,28.0,,8.1,3.6,8.0,,,,,,
2020-03-26,04:00:00,"University Parkway, Purcell Valley, Sweet Water, Gwinnett County, Georgia, 30043:30044, United States of America",33.96127,-84.06901,19,,94.5,,5.6,1019.0,19.0,,11.3,2.0,2.0,9.0,,,,,
2020-03-26,02:00:00,"North Colusa Street, Willows, Glenn County, California, 95988, United States of America",39.53387,-122.19083,19,3.3,94.2,5.6,19.2,1017.1,17.0,,2.3,0.3,4.5,1.0,,,,,
2020-03-26,01:00:00,"801, Willow Way, Chester, Plumas County, California, 96020, United States of America",40.30961,-121.22779,46,,84.2,,22.4,1021.8,46.0,,-3.9,1.1,3.2,,,,,,
2020-03-26,06:00:00,"North Bay, Nipissing District, Northeastern Ontario, Ontario, P1B 6G8, Canada",46.323194,-79.449278,38,,93.0,4.6,20.8,1008.4,38.0,,1.0,3.7,7.7,,0.0,,,,
2020-03-26,04:00:00,"Christian, 1802, East Vaile Avenue, Darrough Chapel, Kokomo, Howard County, Indiana, 46901, United States of America",40.481349,-86.109718,48,,87.5,,28.1,1010.9,48.0,,8.3,0.2,3.0,,,,,,
2020-03-26,05:00:00,"State Highway 145, Chesterfield, Chesterfield County, South Carolina, 29709, United States of America",34.615299,-80.198898,25,,87.0,,24.8,1019.2,8.0,,10.0,4.6,7.2,,8.0,,,,
2020-03-26,05:00:00,"Holly Shelter Road, Castle Hayne, New Hanover County, North Carolina, 28429, United States of America",34.3561,-77.8617,28,,56.0,,28.1,1017.3,5.0,,9.0,2.0,2.0,,,,,,
2020-03-26,04:00:00,"Detroit Lakes Wetland Management District Headquarters, 1732, North Tower Road, Detroit Lakes, Becker County, Minnesota, 56501, United States of America",46.8511,-95.8467,17,,100.0,,16.8,1012.5,13.0,,-7.0,1.8,4.6,,-7.0,,,,
2020-03-26,02:00:00,"Town Center at Lake Forest Park, Beach Drive Northeast, Sheridan Beach, Lake Forest Park, King County, Washington, 98155, United States of America",47.75452,-122.28034,55,2.4,96.0,8.4,8.8,1016.8,55.0,,4.1,0.5,7.0,,,,,,
2020-03-26,02:00:00,"Colusa Golf and Country Course, Moonbend Road, Arbee, Colusa County, California, 95932, United States of America",39.18919,-121.99887,13,,86.0,7.5,12.8,1017.2,17.0,,5.0,2.0,11.3,7.0,3.0,,,,
2020-03-26,05:00:00,"Riverside Drive, Washburn Junction, Presque Isle, Aroostook County, Maine, 04769, United States of America",46.682299,-68.016195,70,,70.6,,,1018.5,70.0,,-2.7,0.3,3.5,66.0,,,,,
2020-03-26,00:00:00,"6745, Southwest Bradbury Court, Tualatin, Washington County, Oregon, 97224, United States of America",45.399203,-122.745529,36,2.8,84.0,13.9,0.1,1019.0,36.0,1.5,6.4,1.0,0.1,,,,,,
2020-03-26,03:00:00,"Big Powder River East Road, Town and Country Trailer Park, Powder River County, Montana, 59317, United States of America",45.440295,-105.37028,11,,70.3,,11.2,1025.9,8.0,,-11.0,,,4.0,,,,,
2020-03-26,02:00:00,"Creativity Explored 2, 1, Arkansas Street, Potrero Hill, San Francisco, San Francisco City and County, California, 94107, United States of America",37.76595,-122.39902,22,3.2,74.5,9.3,21.6,1015.5,5.0,1.5,7.2,0.1,0.4,,,,,,
2020-03-26,04:00:00,"South 100 West, Logan, Cache County, Utah, 84321, United States of America",41.731201,-111.837502,23,0.3,82.0,6.5,23.3,997.4,16.0,,1.55556,1.5,1.0,,,,,,
2020-03-26,05:00:00,"Central Gardens School, Mt Zion Court, Oak Hill, East Highland Park, Henrico County, Virginia, 23223, United States of America",37.55652,-77.40027,10,0.1,98.6,2.8,10.2,1017.1,,0.1,6.1,0.1,0.2,,,,,,
2020-03-26,02:00:00,"Wayne Van Horn Elementary School, Kleinpell Avenue, Kern City, Bakersfield, Kern County, California, 93309, United States of America",35.35662,-119.06261,24,,80.3,4.7,24.1,1015.7,13.0,,7.2,1.1,2.8,30.0,,,,,
2020-03-26,04:00:00,"1449, Airport Drive, Good Roads, Shreveport, Caddo Parish, Louisiana, 71107, United States of America",32.53626,-93.74891,51,,91.3,,18.4,1010.4,51.0,1.0,19.0,5.1,8.7,,17.6,,,,
2020-03-26,06:00:00,"Bellwood Acres Road, Lake of Bays Township, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.224278,-78.932944,34,,88.6,,17.6,1003.5,34.0,,2.2,0.4,0.3,,,,,,
2020-03-26,05:00:00,"Toumey Road, East Cornwall, Cornwall, Litchfield County, Connecticut, 06753, United States of America",41.833099,-73.303299,23,1.4,91.0,,16.3,1017.2,23.0,,-1.6,0.2,0.5,9.0,,,,,
2020-03-26,05:00:00,"224, Spruce Street, Central Waterfront, Whitman Park, Camden, Camden County, New Jersey, 08103, United States of America",39.934635,-75.126126,43,4.5,79.6,16.7,11.2,1018.4,43.0,4.3,3.8,0.7,2.3,,,,,,
2020-03-26,04:00:00,"8465, Phoenician Court, Davie, Broward County, Florida, 33328, United States of America",26.053888888889,-80.256944444444,35,1.3,93.0,8.3,6.1,1013.9,35.0,0.6,20.5,0.5,0.5,13.0,,,,,
2020-03-26,02:00:00,"North 14th Street, Cottage Grove, Lane County, Oregon, 97424, United States of America",43.799503,-123.053492,28,,47.3,,,1020.6,28.0,,0.9,2.8,0.4,,,,,,
2020-03-26,02:00:00,"512, East Washington Street, Indian Village, Burns, Harney County, Oregon, 97720, United States of America",43.58925,-119.04872,15,,85.0,,,25.71,15.0,,-5.5,1.8,9.2,,-9.0,,,,
2020-03-26,03:00:00,"599, East 20th Street, South Park Industrial District, Yuma, Yuma County, Arizona, 85364, United States of America",32.690277,-114.614441,16,,50.0,,15.5,1012.5,13.0,,14.0,3.0,9.2,9.0,4.0,,,,
2020-03-26,03:00:00,"North Colorado Medical Center, 1801, 16th Street, Jackson Field, Greeley, Weld County, Colorado, 80631, United States of America",40.414877,-104.70693,17,,83.5,,9.0,1006.5,17.0,,5.55556,3.0,5.5,9.0,,,81.0,,
2020-03-26,03:00:00,"I 275, Wilder, Campbell County, Kentucky, 41099, United States of America",39.0217,-84.4744,35,,86.0,,24.1,1014.1,35.0,,8.0,1.5,1.0,,,,,,
2020-03-26,04:00:00,"Mickey Vernon Memorial Park Parking Lot, North Church Street, Marcus Hook, Delaware County, Pennsylvania, 19061, United States of America",39.818715,-75.413973,45,,90.1,15.8,8.8,1018.7,45.0,4.3,2.2,1.6,0.6,,,,,,
2020-03-26,05:00:00,"108, West Century Park Circle, Zion Hill, Tallahassee, Leon County, Florida, 32304, United States of America",30.439722222222,-84.346388888889,52,2.0,93.0,,9.0,1013.8,52.0,0.2,20.0,2.5,10.2,,19.0,,,,
2020-03-26,05:00:00,"3816, Sandy Point Road, Lake Shore Estates, Palm Harbor, Pinellas County, Florida, 34685, United States of America",28.090277777778,-82.700833333333,12,2.5,92.0,1.0,11.8,1013.1,51.0,0.1,22.4,0.6,2.0,,,,,,
2020-03-26,02:00:00,"366, E Street Northeast, Quincy, Grant County, Washington, 98848, United States of America",47.24126,-119.84595,8,,59.0,,,1013.5,8.0,,1.0,3.6,8.2,,-6.0,,,,
2020-03-26,01:00:00,"2898, Gaslite Court, North Lewiston, Lewiston, Nez Perce County, Idaho, 83501, United States of America",46.408352,-116.992533,21,75.0,80.0,,5.6,1015.2,21.0,,1.0,2.0,9.7,,-2.0,,,,
2020-03-26,02:00:00,"Pataha Street, Pomeroy, Garfield County, Washington, 99347, United States of America",46.474438,-117.614764,17,,83.0,,,1017.2,17.0,,0.0,7.0,11.0,,,,,,
2020-03-26,04:00:00,"Reservation Hwy 50, Cass Lake, Cass County, Minnesota, 56633, United States of America",47.38443,-94.60166,17,,96.0,,,1011.5,17.0,,-8.5,0.9,9.7,,-9.0,,,,
2020-03-26,05:00:00,"569, Rue des Bois-Francs, Les Eaux-Fraîches, Lac-Saint-Charles, La Haute-Saint-Charles, Québec (Agglomération), Capitale-Nationale, Québec, G2G 2Z4, Canada",46.8857366,-71.3760692,23,0.2,78.5,,22.5,1015.7,29.0,,-1.6,0.5,1.2,,,,,,
2020-03-26,04:00:00,"867, 2nd Avenue, Mount Washington, Beaver Falls, Beaver County, Pennsylvania, 15010, United States of America",40.747799,-80.316704,47,,87.8,14.9,0.8,1014.2,47.0,1.5,5.4,0.6,10.2,20.0,3.6,,,,
2020-03-26,02:00:00,"Chehalis City Hall, 350, North Market Boulevard, Chehalis, Lewis County, Washington, 98532, United States of America",46.66409,-122.96732,32,,100.0,,16.4,1018.9,32.0,,0.0,2.0,6.6,,0.0,,,,
2020-03-26,02:00:00,"LaCross Elementary/Jr & Sr High School, Hill Avenue, La Crosse, Whitman County, Washington, United States of America",46.8153,-117.8739,14,,66.6,,,1013.2,14.0,,-6.4,0.6,1.3,,,,,,
2020-03-26,03:00:00,"City of Longmont Colorado, Civic Center, 350, Kimbark Street, Dominion, Longmont, Boulder County, Colorado, 80501, United States of America",40.164576,-105.100856,10,,71.5,3.2,14.0,1005.3,13.0,0.6,2.2,0.2,1.0,10.0,,,,,
2020-03-26,04:00:00,"Scottish Rite Cathedral, 400, Northeast Perry Avenue, North Peoria, Peoria, Peoria County, Illinois, 61603, United States of America",40.6978,-89.5889,51,,89.0,,,1006.0,51.0,,6.9,2.2,3.2,,,,,,
2020-03-26,05:00:00,"North Pointe Drive, Williams Heights, Florence, Florence County, South Carolina, 29502, United States of America",34.2143,-79.7673,13,,76.0,,,1018.9,13.0,,11.0,5.6,11.8,,7.0,,,,
2020-03-26,04:00:00,"507, South Old Missouri Road, Shady Grove, Springdale, Washington County, Arkansas, 72764, United States of America",36.1797,-94.1167,38,,75.6,,33.6,1006.4,38.0,,18.3,4.3,11.0,,,,,,
2020-03-26,05:00:00,"State Park, Columbia, Richland County, South Carolina, 29223, United States of America",34.093899,-80.962196,22,0.4,89.5,,22.4,1014.6,,,9.4,0.3,3.5,,,,,,
2020-03-26,02:00:00,"345, Dogwood Street, Lyons, Linn County, Oregon, 97358, United States of America",44.778743,-122.617048,28,,94.2,,0.8,1018.8,28.0,,2.3,0.1,0.2,8.0,,,,,
2020-03-26,05:00:00,"Blue Ridge Regional Hospital, 125, Hospital Drive, Spruce Pine, Mitchell County, North Carolina, 28777, United States of America",35.912487,-82.062082,30,,97.0,,,1019.2,30.0,,6.2,0.1,1.1,,,,,,
2020-03-26,05:00:00,"Wm Davis Parkway, Cypress Village Senior Living, Isle of Palms South, Jacksonville, Duval County, Florida, 32224, United States of America",30.260277777778,-81.453611111111,54,4.6,91.0,4.3,5.3,1013.5,54.0,0.1,20.5,0.7,3.0,26.0,,,,,
2020-03-26,02:00:00,"Peterson Elementary School, Clinton Avenue, Altamont, Klamath County, Oregon, 97603, United States of America",42.190296,-121.731369,91,,78.0,,,25.77,91.0,,-6.7,2.3,1.2,,,,,,
2020-03-26,04:00:00,"2918, Forest Avenue, Northcrest, Fort Wayne, Allen County, Indiana, 46805, United States of America",41.094965,-85.101816,37,,83.5,,20.8,1009.1,37.0,,7.3,0.5,0.7,,,,,,
2020-03-26,06:00:00,"Hastings Stadium, Kathleen Street, Guelph, Southwestern Ontario, Ontario, N1H 4R4, Canada",43.551611,-80.264167,59,,92.5,13.5,6.4,1010.5,59.0,,-0.2,0.2,1.0,,,,,,
2020-03-26,04:00:00,"6102, Townley Way, Pleasant Hill, McCalla, Jefferson County, Alabama, 35111, United States of America",33.3311,-87.0036,27,,96.2,,3.2,1012.4,27.0,,10.4,0.3,0.1,,,,,,
2020-03-26,04:00:00,"Murphey Middle School, Bungalow Road, Edenwood, Kendan Park, Augusta, Richmond County, Georgia, 30906, United States of America",33.433349,-82.022217,45,,82.0,,7.3,1017.9,45.0,20.3,14.0,3.6,7.2,10.0,11.0,,,,
2020-03-26,01:00:00,"Headquarters Parking, South Smith Road, South Cheney, Spokane County, Washington, United States of America",47.4164,-117.52982,13,,95.0,,,1015.9,13.0,,-3.0,0.2,4.0,1.0,,,,,
2020-03-26,03:00:00,"Ben Reifel Road, Jackson County, South Dakota, 57750, United States of America",43.746944,-101.941109,18,,92.0,,17.6,1010.1,18.0,,0.0,2.0,11.3,6.0,-1.0,,,,
2020-03-26,03:00:00,"1508, West Mockingbird Lane, Eagle Ford, Dallas, Dallas County, Texas, 75235, United States of America",32.8200608,-96.8601165,62,,78.0,5.0,16.0,1008.1,62.0,,22.0,4.6,8.7,,18.0,,,,
2020-03-26,05:00:00,"LMPD Firearms Training Center, Gibson Lane, South Parkland, Louisville, Jefferson County, Kentucky, 40211, United States of America",38.23158,-85.82675,48,,90.0,,,1012.1,48.0,1.5,8.0,0.3,0.6,18.0,,,,,
2020-03-26,02:00:00,"Seattle - Duwamish Valley Air Monitoring Station, Ohio Avenue South, Georgetown, Seattle, King County, Washington, 98106-1499, United States of America",47.559975,-122.338265,50,2.5,93.0,8.4,10.4,1018.2,50.0,1.5,4.0,3.0,8.2,,3.0,,,,
2020-03-26,02:00:00,"Burke County, North Dakota, United States of America",48.641899,-102.402199,64,,100.0,4.7,19.2,1007.7,64.0,1.5,-4.0,1.8,6.1,11.0,-4.0,,,,
2020-03-26,01:00:00,"East Gibson Road, Woodland, Yolo County, California, 95776, United States of America",38.66121,-121.73269,20,4.4,86.6,1.0,20.0,1016.1,5.0,,4.2,1.0,0.6,,,,,,
2020-03-26,04:00:00,"West Channel Road, Marshall, Lyon County, Minnesota, 56258, United States of America",44.4572,-95.835,21,,92.0,,20.8,1011.5,13.0,,-2.0,3.0,13.3,,-3.0,,,,
2020-03-26,04:00:00,"2500, MO 759, Kirschner, St. Joseph, Buchanan County, Missouri, 64501, United States of America",39.741667,-94.858333,17,,81.0,,,1005.0,17.0,,11.0,3.0,12.3,11.0,8.0,,,,
2020-03-26,06:00:00,"2, Gravelle Street, South Huron, Huron County, Southwestern Ontario, Ontario, N0M 1T0, Canada",43.333083,-81.742889,50,,95.5,2.8,22.4,1011.4,50.0,,2.2,5.3,1.5,,,,,,
